,Date,S&P/Case-Shiller CA-San Francisco Home Price Index,Condo Price Index for San Francisco,Consumer Price Index for All Urban Consumers: Rent,Consumer Price Index for All Urban Consumers: All Items(CBSA),"Total Gross Domestic Product, Millions of Dollars, Annual(MSA)",Mortgage debt-percent with debt,Median debt(inflation adjusted),Percent with Severely Delinquent Debt,"Per Capita Personal Income,Dollars, Annual(MSA)","Resident Population, Thousands of Persons, Annual(MSA)",Unemployment Rate(MSA),All-Transactions House Price Index（MSAD）,Consumer Price Index for All Urban Consumers: Housing（CBSA）,Consumer Price Index for All Urban Consumers: Owners Equivalent Rent（CBSA）,"Economic Conditions Index,percent（MSA）",New Private Housing Structures Authorized by Building Permits（MSA）
201,2003-10-01,151.550065461990000,142.375420009285000,261.900,196.300,,,,,,,6.1,218.75,223.900,273.200,2.86,1816.94338347967000
202,2003-11-01,153.730186291331000,143.066568106878000,262.200,,,,,,,,6.0,,,273.700,2.97,1280.91169542967000
203,2003-12-01,155.987171416700000,144.636001452371000,263.000,195.300,,,,,,,5.5,,222.200,273.700,2.95,872.50512731818400
204,2004-01-01,157.843040606782000,146.497339429462000,262.500,,261820.634,,,,52337,4143.522,6.2,222.84,,272.900,2.82,1422.25526195413000
205,2004-02-01,159.953971133133000,149.469007310867000,262.100,198.100,,,,,,,5.9,,222.000,272.700,2.68,708.33488886855400
206,2004-03-01,162.212764021066000,151.772426279431000,262.200,,,,,,,,6.2,,,272.000,2.89,1138.89454170215000
207,2004-04-01,164.534628876381000,153.976864858284000,261.900,198.300,,,,,,,5.6,232.20,220.400,271.500,3.66,1140.95683327195000
208,2004-05-01,166.800060373665000,155.318873962004000,261.700,,,,,,,,5.2,,,271.700,3.49,1410.25878260290000
209,2004-06-01,169.835323153157000,156.915963320023000,261.700,199.000,,,,,,,5.7,,220.900,271.300,3.06,1290.70568062788000
210,2004-07-01,172.094507216090000,159.184678900508000,261.700,,,,,,,,5.7,248.91,,271.300,3.02,1454.29130846402000
211,2004-08-01,174.534409546176000,161.797105004006000,261.800,198.700,,,,,,,5.4,,221.000,271.400,2.74,1720.55438765440000
212,2004-09-01,177.016888159536000,164.787664544081000,262.100,,,,,,,,5.0,,,271.300,2.81,958.73356711300100
213,2004-10-01,180.047698362914000,168.559853483361000,262.600,200.300,,,,,,,5.1,255.95,222.700,271.700,2.74,1077.34714547446000
214,2004-11-01,183.278106099723000,171.755058579909000,262.800,,,,,,,,5.1,,,272.100,2.66,1494.29425348139000
215,2004-12-01,187.114207764936000,175.701976207122000,262.900,199.500,,,,,,,4.7,,222.300,272.400,2.82,1281.33933906786000
216,2005-01-01,191.620990664877000,178.120711407279000,262.900,,284589.379,,,,55702,4149.607,5.2,266.83,,272.200,2.52,787.08965150920600
217,2005-02-01,196.018892918739000,181.663340318758000,263.100,201.200,,,,,,,5.2,,223.700,272.100,2.57,947.91164046384500
218,2005-03-01,200.468634007499000,185.458196738093000,263.000,,,40.30%,357406.0,0.30%,,,5.1,,,271.900,2.90,1105.03612924597000
219,2005-04-01,202.308243486544000,189.137774619331000,262.600,202.500,,,,,,,4.7,282.83,222.200,271.600,3.01,1180.85041448462000
220,2005-05-01,204.821172323418000,190.949392124365000,263.100,,,,,,,,4.5,,,271.900,2.58,1272.47251222530000
