,Date,Consumer Price Index for All Urban Consumers: Housing(CBSA),All-Transactions House Price Index(MSAD),S&P/Case-Shiller NY-New York Home Price Index,Consumer Price Index for All Urban Consumers: All Items(CBSA),"New Private Housing Structures Authorized by Building Permits, Units(MSA)","Economic Conditions Index, percent(MSA)","Civilian Labor Force, persons(MSA)",Mortgage debt-percent with debt,Median debt(inflation adjusted),Percent with Severely Delinquent Debt,Consumer Price Index for All Urban Consumers: Owners Equivalent Rent(CBSA),"Per Capita Personal Income, Dollars(MSA)","Resident Population, Thousands of Persons, Annual(MSA)",Consumer Price Index for All Urban Consumers: Rent(CBSA),Unemployment Rate(MSA),"Total Gross Domestic Product, Millions of Dollars(MSA)"
373,2007-02-01,242.692,,213.31524283797400,223.066,4531.3149860767400,1.41,9614256,,,,299.067,,,277.634,4.2,
374,2007-03-01,244.042,,214.25103168454100,224.551,4555.3393917031000,1.56,9608510,33.40%,237993.0,1.20%,300.334,,,277.974,4.2,
375,2007-04-01,244.436,270.16,213.60363140243300,225.780,4987.9648446657500,1.62,9604985,,,,300.506,,,278.752,4.3,
376,2007-05-01,245.293,,211.87852572810600,227.146,4382.6945328114200,1.90,9606085,,,,300.992,,,280.083,4.4,
377,2007-06-01,248.228,,209.70913346897600,228.258,4632.8186056501700,1.60,9612145,33.80%,238988.0,1.30%,302.162,,,281.291,4.4,
378,2007-07-01,249.798,267.00,207.77423535977900,228.628,5124.7882502569300,0.91,9621715,,,,302.093,,,281.457,4.5,
379,2007-08-01,249.191,,205.37418837781300,228.326,4379.2351396767500,0.52,9634702,,,,303.877,,,282.562,4.5,
380,2007-09-01,247.319,,204.86611370467500,228.308,4154.7112059248500,0.73,9651002,34.10%,242500.0,1.60%,304.916,,,284.155,4.5,
381,2007-10-01,246.949,266.34,203.95983978269700,228.552,4864.6900919948800,1.68,9669249,,,,305.234,,,285.604,4.5,
382,2007-11-01,247.906,,203.29696297051300,229.504,4412.5541158184000,1.67,9687609,,,,305.934,,,286.418,4.6,
383,2007-12-01,247.786,,201.72022836371200,229.395,3898.8879671607600,1.65,9705271,33.70%,243724.0,2.00%,306.658,,,287.618,4.6,
384,2008-01-01,248.563,265.90,200.80614177565800,229.869,4480.4482856765200,2.69,9720310,,,,306.943,54869,18968.501,288.886,4.6,1189170.994
385,2008-02-01,250.328,,199.44753553486900,231.020,3561.6927482354000,1.43,9731053,,,,307.776,,,289.775,4.7,
386,2008-03-01,252.586,,198.83347332357500,233.122,3055.1494930052000,0.47,9738759,34.10%,244977.0,2.40%,308.414,,,290.943,4.7,
387,2008-04-01,252.200,259.22,197.14471918261600,233.822,3534.5034568231100,0.15,9746372,,,,309.225,,,291.938,4.8,
388,2008-05-01,253.161,,195.84414000592100,236.151,5865.2868030321000,-0.81,9756304,,,,310.265,,,292.639,4.9,
389,2008-06-01,257.051,,194.84202311671200,238.580,14046.3448929701000,-0.75,9769980,34.20%,245467.0,2.60%,312.623,,,294.696,5.0,
390,2008-07-01,259.706,250.82,192.56213153259300,240.273,3311.4217574251900,-0.64,9785857,,,,313.335,,,297.326,5.2,
391,2008-08-01,260.568,,191.07170895860800,240.550,1783.4314045932500,-1.06,9801112,,,,314.378,,,299.103,5.4,
392,2008-09-01,258.439,,189.65641613333000,240.089,2374.4404673695700,-1.91,9813230,34.20%,245911.0,2.90%,314.933,,,299.508,5.6,
393,2008-10-01,257.047,248.28,187.80955619936800,238.403,1894.6588612851200,-3.04,9821166,,,,315.708,,,301.253,5.9,
394,2008-11-01,254.912,,185.50705709623500,234.498,1499.1268219506300,-4.05,9824111,,,,316.402,,,302.313,6.2,
395,2008-12-01,255.615,,183.31560040662700,233.012,1483.1878320023200,-4.83,9823512,33.80%,251274.0,3.60%,317.595,,,303.511,6.7,
396,2009-01-01,256.339,248.46,181.57184351242300,233.402,1280.5065296892500,-5.21,9822114,,,,317.430,52897,19069.796,304.403,7.1,1225294.699
397,2009-02-01,256.561,,179.34483094157000,234.663,1458.2661760385100,-4.88,9823056,,,,317.982,,,305.125,7.6,
398,2009-03-01,257.491,,176.19962382750500,235.067,1229.9650797015200,-4.87,9827687,34.10%,252739.0,4.40%,319.755,,,306.714,8.0,
399,2009-04-01,257.062,242.16,173.36844400883500,235.582,1390.1327863762900,-3.97,9834838,,,,320.205,,,307.816,8.3,
400,2009-05-01,256.573,,172.86605947961300,235.975,1017.2185206875000,-2.30,9840578,,,,320.917,,,308.207,8.6,
401,2009-06-01,257.537,,172.25214200481000,237.172,1324.6267774231700,-2.17,9841732,33.80%,252056.0,5.20%,320.054,,,308.199,8.8,
402,2009-07-01,258.912,235.47,172.29021760557000,237.600,1207.3412866849600,-1.71,9834828,,,,320.895,,,308.110,8.9,
403,2009-08-01,258.755,,172.31606556467100,238.282,1126.2261377564400,-1.48,9819707,,,,321.246,,,308.218,9.0,
404,2009-09-01,256.970,,172.42512905725100,238.568,1300.1798291288300,-0.95,9800326,33.60%,251608.0,5.80%,319.404,,,307.895,9.2,
405,2009-10-01,256.273,233.55,172.38408382895200,238.380,1140.7213754814800,-0.31,9780578,,,,319.705,,,307.574,9.2,
406,2009-11-01,256.464,,171.76964802287600,238.777,1452.2828447795200,0.00,9767471,,,,319.987,,,308.977,9.3,
407,2009-12-01,256.523,,171.96764321334900,238.427,1563.3917449708200,0.37,9766464,33.40%,250605.0,6.40%,320.430,,,309.229,9.3,
408,2010-01-01,257.261,231.93,172.36004816721300,238.970,1080.6501399932500,0.07,9776114,,,,320.601,54632,18923.407,309.408,9.3,1284183.559
409,2010-02-01,257.077,,172.44714535996500,238.862,1364.5411177787400,0.68,9794155,,,,320.966,,,309.841,9.2,
410,2010-03-01,257.820,,172.28099292753700,240.101,1566.3291558053100,2.21,9812912,33.80%,251165.0,6.80%,321.234,,,311.085,9.1,
411,2010-04-01,257.869,230.51,171.94674934461700,240.529,1121.3531235600100,3.60,9827584,,,,320.538,,,311.378,9.0,
412,2010-05-01,258.555,,172.28867025981600,241.075,1367.5277462749600,2.06,9834902,,,,321.023,,,311.918,8.9,
413,2010-06-01,259.514,,172.55724794316500,240.817,1846.7228328939500,1.42,9834518,33.50%,253127.0,6.80%,322.049,,,313.115,8.8,
414,2010-07-01,260.421,231.82,172.82749292908700,241.147,1296.9379945869300,0.98,9828449,,,,322.082,,,314.997,8.8,
415,2010-08-01,259.997,,171.85971246534700,241.569,1368.5818487761400,1.13,9820051,,,,321.946,,,316.329,8.7,
416,2010-09-01,258.871,,171.60213272303600,241.485,1494.7924465037300,1.24,9810203,33.50%,253141.0,6.90%,321.175,,,316.545,8.7,
417,2010-10-01,258.468,232.14,169.28903086596200,241.981,1609.2818068546400,1.65,9800085,,,,321.471,,,317.286,8.7,
418,2010-11-01,258.216,,168.78051797159800,241.960,1029.0117370556900,1.56,9789728,,,,321.705,,,317.192,8.7,
419,2010-12-01,258.702,,168.30554241811100,241.874,2620.4513871258300,1.61,9779520,32.70%,252742.0,7.10%,321.723,,,317.341,8.7,
420,2011-01-01,259.081,229.05,167.19073351541800,242.639,1540.4853400883000,1.58,9772879,,,,322.013,57452,19052.774,316.333,8.6,1309603.152
421,2011-02-01,259.198,,166.61547485427600,243.832,1361.1434270052200,2.30,9769710,,,,321.957,,,316.629,8.5,
422,2011-03-01,259.985,,165.52785372949900,245.617,1619.6418262831900,2.73,9769092,33.00%,252929.0,7.30%,322.572,,,318.089,8.5,
423,2011-04-01,260.194,225.57,167.11063393409500,246.489,1550.1170178143200,2.99,9770718,,,,323.545,,,318.941,8.5,
424,2011-05-01,261.585,,166.83664137530700,248.073,2595.3945222252900,2.41,9776502,,,,324.271,,,319.343,8.5,
425,2011-06-01,263.038,,166.28687961195600,248.505,2437.2375214054600,2.02,9787381,33.10%,251647.0,7.10%,325.157,,,320.554,8.5,
426,2011-07-01,264.345,224.47,167.03908455417500,249.164,1361.3223866109500,2.23,9803305,,,,326.405,,,321.621,8.6,
427,2011-08-01,264.070,,166.69134463629200,250.058,1705.8928548387900,1.75,9822286,,,,327.383,,,322.568,8.6,
428,2011-09-01,263.675,,166.94791697079900,250.559,1123.3139744506600,1.65,9841259,33.00%,250774.0,7.20%,327.590,,,322.860,8.7,
429,2011-10-01,262.854,225.33,165.14164906723100,250.051,1550.4560832605000,1.44,9857348,,,,327.983,,,323.820,8.7,
430,2011-11-01,262.528,,164.31236731208000,249.317,1913.0758728319000,2.22,9867251,,,,327.849,,,324.090,8.7,
431,2011-12-01,261.610,,162.98515519432600,248.307,1800.3118521404400,2.67,9870623,32.50%,249382.0,7.40%,327.263,,,323.923,8.8,
432,2012-01-01,262.677,223.90,162.10406037177600,249.322,2116.9380412212800,3.22,9872079,,,,327.973,60160,19149.689,324.920,8.8,1401401.443
433,2012-02-01,262.504,,161.13348489569600,250.285,2659.1286859709600,2.67,9876719,,,,327.659,,,324.670,8.8,
434,2012-03-01,263.648,,160.56006197069900,251.887,1899.1528920783700,1.52,9885799,32.80%,247847.0,7.50%,328.833,,,325.323,8.9,
435,2012-04-01,263.310,221.36,160.97814624614300,252.349,2610.4282449887400,0.39,9896538,,,,329.059,,,326.117,8.9,
436,2012-05-01,264.114,,161.72052994759100,252.652,1996.5352136316700,1.48,9907947,,,,329.833,,,327.492,8.9,
437,2012-06-01,265.684,,162.56187481595000,252.406,1987.3209265408000,1.55,9918166,32.50%,247326.0,7.50%,330.658,,,328.237,8.9,
438,2012-07-01,265.403,222.44,162.59070302394200,252.016,2630.4722604443200,1.13,9925952,,,,331.019,,,328.979,8.8,
439,2012-08-01,266.008,,162.94765484403000,253.472,2036.0294801016500,2.34,9933265,,,,331.857,,,329.964,8.7,
440,2012-09-01,266.552,,163.34842639236700,254.554,2508.9955275677100,2.50,9942588,32.20%,246949.0,7.50%,332.300,,,330.906,8.6,
441,2012-10-01,265.971,222.95,163.11589005786200,254.277,2435.8542169117900,1.72,9951882,,,,332.931,,,331.459,8.6,
442,2012-11-01,266.862,,162.49753562618400,254.285,1876.4925976927500,1.45,9957967,,,,333.356,,,331.472,8.5,
443,2012-12-01,267.015,,162.70269426867300,253.555,2332.6125248660300,4.02,9958241,32.00%,246092.0,6.90%,334.204,,,332.255,8.5,
444,2013-01-01,268.881,223.56,162.79129687376800,254.807,3743.6818588640100,3.55,9953074,,,,334.770,60684,19226.449,332.991,8.4,1447038.040
445,2013-02-01,269.260,,163.76779486508600,256.234,2224.5068391984900,3.17,9947318,,,,335.296,,,334.895,8.3,
446,2013-03-01,269.193,,163.30088025614700,256.589,1782.9362209186000,2.83,9947695,31.60%,245114.0,6.90%,335.496,,,336.693,8.2,
447,2013-04-01,268.403,223.95,164.80586002611000,255.967,3177.4769063823200,2.56,9957571,,,,335.659,,,336.492,8.1,
448,2013-05-01,269.517,,166.01836777764500,256.270,3311.4230017491800,1.90,9973261,,,,336.084,,,337.590,8.0,
449,2013-06-01,270.574,,167.08325092703300,256.911,2891.8787680733500,2.12,9987988,30.70%,247132.0,7.10%,336.739,,,338.117,8.0,
450,2013-07-01,271.114,225.38,167.91131624875800,257.326,3198.3627704211200,2.70,9996341,,,,336.813,,,338.450,8.0,
451,2013-08-01,271.752,,168.93643902298700,257.659,4343.8974343590900,2.78,9992313,,,,339.422,,,339.926,7.9,
452,2013-09-01,272.914,,170.34487871356600,258.504,2835.0705018703800,2.79,9974516,30.50%,246779.0,6.70%,340.509,,,340.556,7.7,
453,2013-10-01,271.244,226.65,171.40486394605300,257.069,3598.6952935014300,3.19,9949701,,,,341.759,,,341.629,7.5,
454,2013-11-01,271.864,,172.48906851236600,257.377,3414.9642263333500,3.06,9923956,,,,343.260,,,342.262,7.4,
