,Date,Consumer Price Index for All Urban Consumers: Rent(CBSA),All-Transactions House Price Index(MSAD),New Private Housing Units Authorized by Building Permits: 1-Unit Structures(MSA),Consumer Price Index for All Urban Consumers: housing(CBSA),Consumer Price Index for All Urban Consumers: All items(CBSA),Economic Conditions Index(MSA),"Total Gross Domestic Product for Dallas,Millions of Dollars(MSA)",S&P/Case-Shiller TX-Dallas Home Price Index,Mortgage debt-percent with debt,Median debt(inflation adjusted),Percent with Severely Delinquent Debt,Consumer Price Index for All Urban Consumers: Owners Equivalent Rent(CBSA),"Civilian Labor Force in Dallas,persons(MSA)","Per Capita Personal Income,persons,Dollars, Annual(MSA)","Resident Population, Thousands of Persons, Annual(MSA)","Unemployment Rate, percent(MSA)"
389,1996-04-01,135.900,104.83,2424.3522637895900,134.100,148.500,5.03,,,,,,,2550597,,,4.1
390,1996-05-01,136.600,,2260.4235354605700,,,5.37,,,,,,,2564751,,,4.1
391,1996-06-01,137.300,,1906.3979526442400,136.200,149.400,5.36,,,,,,,2599790,,,4.3
392,1996-07-01,137.400,105.70,2164.1232589203700,,,5.29,,,,,,,2621873,,,4.1
393,1996-08-01,137.800,,2163.4610466635000,137.500,149.500,5.25,,,,,,,2603151,,,3.8
394,1996-09-01,138.300,,1915.3789292737400,,,5.26,,,,,,,2601611,,,3.8
395,1996-10-01,139.000,106.03,2235.5815273493300,138.100,150.700,5.67,,,,,,,2614472,,,3.7
396,1996-11-01,139.700,,1978.3477815769300,,,5.65,,,,,,,2615434,,,3.8
397,1996-12-01,140.100,,2008.3643799312000,136.100,150.000,5.45,,,,,,,2615801,,,3.5
398,1997-01-01,140.400,106.93,2058.2182202331900,,,5.56,,,,,,153.400,2607094,28222,,4.0
399,1997-02-01,140.500,,1969.7812654614900,137.900,150.700,5.72,,,,,,,2613639,,,4.0
400,1997-03-01,140.500,,1945.0277372606900,,,6.00,,,,,,,2638016,,,3.9
401,1997-04-01,141.000,107.72,2022.1804400404700,136.700,150.600,5.97,,,,,,,2642376,,,3.5
402,1997-05-01,140.800,,2044.2220225469600,,,6.02,,,,,,,2656716,,,3.5
403,1997-06-01,142.300,,2148.0991946897400,139.000,151.400,5.72,,,,,,,2692076,,,4.0
404,1997-07-01,143.100,108.77,2212.7479979319400,,,5.53,,,,,,,2709469,,,3.9
405,1997-08-01,143.400,,2147.3846330336000,138.200,151.200,5.57,,,,,,,2697231,,,3.7
406,1997-09-01,144.300,,2412.1322903907700,,,5.63,,,,,,,2688125,,,3.7
407,1997-10-01,145.800,110.33,2343.4723811957800,141.500,152.800,5.26,,,,,,,2693541,,,3.3
408,1997-11-01,146.400,,2407.3472476611800,,,5.06,,,,,,,2707989,,,3.2
409,1997-12-01,146.400,,2418.8905851387100,140.500,152.500,5.04,,,,,,,2708351,,,3.0
410,1998-01-01,146.900,112.11,2441.0736539296200,140.600,152.100,5.14,,,,,,161.100,2679018,30303,,3.5
411,1998-02-01,147.600,,2529.1565675655000,,,4.91,,,,,,,2685683,,,3.4
412,1998-03-01,147.900,,2473.0533515436500,141.200,153.000,4.81,,,,,,,2698993,,,3.4
413,1998-04-01,148.600,112.89,2674.6493632235200,,,5.11,,,,,,,2705062,,,3.0
414,1998-05-01,149.300,,2610.1018488528800,141.900,153.000,4.84,,,,,,,2717715,,,3.2
415,1998-06-01,149.800,,2564.8223894428600,,,4.79,,,,,,,2750458,,,3.8
416,1998-07-01,150.000,115.22,2765.7301791732600,145.200,154.200,5.00,,,,,,,2766486,,,3.8
417,1998-08-01,150.600,,2582.4786678911000,,,5.05,,,,,,,2748678,,,3.5
418,1998-09-01,151.400,,2744.2295638660400,145.900,154.500,5.07,,,,,,,2755011,,,3.4
419,1998-10-01,151.400,116.69,2590.2305056134800,,,4.86,,,,,,,2765493,,,3.1
420,1998-11-01,151.800,,3074.7885474714600,143.600,154.000,4.70,,,,,,,2772827,,,2.9
421,1998-12-01,153.000,,2755.3336887798500,,,4.38,,,,,,,2778218,,,2.7
422,1999-01-01,153.400,117.68,2670.6362268199200,144.600,155.000,3.82,,,,,,166.200,2768894,31233,,3.1
423,1999-02-01,154.400,,2956.2457693130100,,,4.07,,,,,,,2772447,,,3.0
424,1999-03-01,154.500,,2900.4268764692200,145.100,156.400,3.87,,,,,,,2783923,,,2.9
425,1999-04-01,155.000,120.16,2691.6320026027600,,,3.51,,,,,,,2794622,,,2.9
426,1999-05-01,155.700,,2648.7270299463100,145.400,157.200,3.38,,,,,,,2800416,,,2.9
427,1999-06-01,156.200,,2722.2648001505900,,,3.80,,,,,,,2827430,,,3.4
